dataset_name,task_name,paper_publication_date,Main energy source,Low Carbon?,Carbon intensity (g CO2/kWh),Average Carbon Yearly,Local/Cloud,country,location,Source,model_number_of_gpus,model_gpu,model_number_of_tpus,model_tpu,TDP,TDP Source,GPU_hours,Energy consumed (kWh),CO2 emitted (kg),BLEU score,F1
Imagenet,Image Classification,2021,Coal,0,401.06,441.0673939,cloud,USA,Google,eGRID,,,1,TPUv3,450,https://cacm.acm.org/magazines/2020/7/245702-a-domain-specific-supercomputer-for-training-deep-neural-networks/fulltext,1451520000,181440,72768.3,,
Conll 2003,Named Entity Recognition,2015,Oil,0,636.734,636.734,local,Japan,Tokyo,ElectricityMap,1,Intel Xeon E5-2697,,,130,https://ark.intel.com/content/www/us/en/ark/products/75283/intel-xeon-processor-e52697-v2-30m-cache-2-70-ghz.html,21600,0.78,0.5,,91.62
Imagenet,Image Classification,2021,Coal,0,555,441.0673939,cloud,China,Taiwan,Climate Transparency (2019 Report),,,1,TPUv3,300,https://cacm.acm.org/magazines/2020/7/245702-a-domain-specific-supercomputer-for-training-deep-neural-networks/fulltext,87264000,7272,4036,,
WMT2014 English-French,Machine Translation,2016,Gas,0,191.43,126.0825,local,USA,California,Carbon Footprint 2020,32,Tesla K40,,,245,https://www.techpowerup.com/gpu-specs/tesla-k40c.c2505,27648000,1881.6,360.2,35.9,
SQuAD 1.1,Question Answering,2016,Hydro,1,85.2,126.0825,local,USA,Washington,Carbon Footprint 2019,1,GeForce Titan X,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,72000,5,0.4,,81.525
SQuAD 1.1,Question Answering,2016,Hydro,1,85.2,126.0825,local,USA,Washington,Carbon Footprint 2019,1,GeForce Titan XP,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,72000,5,0.4,,77.323
Conll 2003,Named Entity Recognition,2017,Hydro,1,309.9,382.9775,local,USA,Washington,Carbon Footprint 2019,3,?,,,250,Median TDP,3628800,4032,1249.5,,91.93
WMT2014 English-French,Machine Translation,2017,Hydro,1,142.5,382.9775,cloud,USA,Oregon,Carbon Footprint 2020,8,Tesla K80,,,300,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,25574400,2131.2,303.7,40.46,
WMT2014 English-German,Machine Translation,2017,Hydro,1,142.5,382.9775,cloud,USA,Oregon,Carbon Footprint 2020,8,Tesla K80,,,300,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,12787200,1065.6,151.8,25.16,
WMT2014 English-German,Machine Translation,2017,Hydro,1,142.5,382.9775,cloud,USA,Oregon,Carbon Footprint 2020,8,Tesla K80,,,300,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,9676800,806.4,114.9,26.4,
WMT2014 English-German,Machine Translation,2017,Coal,0,603.21,382.9775,cloud,USA,Ohio,Carbon Footprint 2020,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,2419200,168,101.3,28.4,
SQuAD 1.1,Question Answering,2017,Coal,0,603.21,382.9775,cloud,USA,Ohio,Carbon Footprint 2020,1,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,302400,21,12.7,,80.2
SQuAD 1.1,Question Answering,2017,Oil,0,560,382.9775,local,Israel,Tel Aviv,OECD,1,Titan Xp PASCAL 12GB.,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,21600,1.5,0.8,,83.261
SQuAD 1.1,Question Answering,2017,Oil,0,560,382.9775,local,Israel,Tel Aviv,OECD,1,Titan Xp PASCAL 12GB.,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,21600,1.5,0.8,,84.163
Imagenet,Image Classification,2020,Coal,0,506.1,371.045,local,USA,Michigan,Carbon Footprint 2020,16,GeForce RTX 2080 Ti,,,250,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,15206400,1056,534.4,,
WMT2014 English-German,Machine Translation,2018,Coal,0,680,286.1433333,local,China,Shenzhen,ClimateTransparency (2017Report),8,Tesla P40,,,250,https://www.techpowerup.com/gpu-specs/tesla-p40.c2878,2419200,168,114.2,29.2,
SQuAD 1.1,Question Answering,2018,Hydro,1,85.2,286.1433333,local,USA,Washington,Carbon Footprint 2019,3,GTX-1080 GPUs,,,250,techpowerup.com,3628800,252,21.5,,85.833
Conll 2003,Named Entity Recognition,2018,Hydro,1,85.2,286.1433333,local,USA,Washington,Carbon Footprint 2019,3,GTX-1080 GPUs,,,250,techpowerup.com,3628800,252,21.5,,92.22
WMT2014 English-French,Machine Translation,2018,Gas,0,357.81,286.1433333,local,USA,Pennsylvania,Carbon Footprint,2,GeForce RTX 2070,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",864000,51.6,18.5,42.1,
WMT2014 English-German,Machine Translation,2018,Gas,0,357.81,286.1433333,local,USA,Pennsylvania,Carbon Footprint,2,GeForce RTX 2070,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",864000,51.6,18.5,29.6,
SQuAD 1.1,Question Answering,2018,Nuclear,1,51.91,286.1433333,local,Canada,Ontario,ElectricityMap,4,GTX Titan GPUs 12GB,,,250,"https://www.techpowerup.com/gpu-specs/geforce-gtx-titan.c1996#:~:text=The%20GPU%20is%20operating%20at,rated%20at%20250%20W%20maximum.",2419200,168,8.7,,83.538
Conll 2003,Named Entity Recognition,2018,Hydro,1,1.3,286.1433333,local,Canada,Quebec,UN Framework Convention on Climate Change (2019).,2,GPU RTX,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",3456000,206.4,0.3,,91.73
Imagenet,Image Classification,2021,Oil,0,418.8,441.0673939,local,Singapore,Singapore,Singapore Energy Market Authority (EMA),32,A100 GPU,,,250,https://www.nvidia.com/en-us/data-center/a100/,13824000,960,402,,
WMT2014 English-German,Machine Translation,2019,Coal,0,545,335.5186667,cloud,China,Taiwan,Patterson et al.,,,512,Cloud TPU v3,300,https://arxiv.org/abs/2104.10350,884736000,82575.36,46700,32.1,
WMT2014 English-French,Machine Translation,2019,Coal,0,545,335.5186667,cloud,China,Taiwan,Patterson et al.,,,512,Cloud TPU v3,300,https://arxiv.org/abs/2104.10350,884736000,82575.36,45003.6,43.4,
Imagenet,Image Classification,2020,Gas,0,420.5,371.045,cloud,USA,East,Google,64,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,12211200,848,356.6,,
WMT2014 English-German,Machine Translation,2019,Gas,0,415,335.5186667,cloud,USA,Georgia,Patterson et al.,,,16,Cloud TPU v2,280,https://arxiv.org/abs/2104.10350,13824000,1075.2,446.2,28.4,
MS COCO,Object Detection,2019,Nuclear,1,336.95,335.5186667,cloud,USA,Virginia,Carbon Footprint 2020,1,GeForce RTX 2070,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",97200,5.805,2,,
SQuAD 1.1,Question Answering,2019,Gas,0,355.96,335.5186667,local,Russia,Moscow,ElectricityMap,8,Tesla P100 PCIe 16 GB,,,250,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,1382400,96,34.2,,84.6
WMT2014 English-French,Machine Translation,2019,Oil,0,220.26,335.5186667,local,Spain,Barcelona,Association of Issuing Bodies (AIB),8,Nvidia V100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,2073600,144,31.7,43.3,
WMT2014 English-French,Machine Translation,2019,Hydro,1,90.74,335.5186667,cloud,USA,Washington,Carbon Footprint 2020,8,Tesla M40,,,250,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,3456000,240,21.8,43.27,
WMT2014 English-German,Machine Translation,2019,Hydro,1,90.74,335.5186667,cloud,USA,Washington,Carbon Footprint 2020,8,Tesla M40,,,250,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,3456000,240,21.8,30.07,
Conll 2003,Named Entity Recognition,2019,Coal,0,371.28,335.5186667,,USA,Illinois,Carbon Footprint 2020,8,?,,,250,Median TDP,691200,48,17.8,,84.7
WMT2014 English-French,Machine Translation,2019,Gas,0,415,335.5186667,cloud,USA,Georgia,Patterson et al.,8,Tesla P100 PCIe 16 GB,,,250,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,2211840,153.6,14.3,40.6,
WMT2014 English-German,Machine Translation,2019,Oil,0,220.26,335.5186667,local,Spain,Barcelona,Association of Issuing Bodies (AIB),8,Nvidia V100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,691200,48,10.6,29.7,
MS COCO,Object Detection,2019,Gas,0,357.81,335.5186667,local,USA,Pennsylvania,Carbon Footprint,8,p6000,,,40,https://www.techpowerup.com/gpu-specs/quadro-p600.c2933,345600,3.84,1.4,,
Conll 2003,Named Entity Recognition,2019,Coal,0,371.28,335.5186667,local,USA,Illinois,Carbon Footprint 2020,1,GTX 1080,,,250,techpowerup.com,172800,12,4.5,,93.43
Conll 2003,Named Entity Recognition,2019,Hydro,1,142.5,335.5186667,cloud,USA,Oregon,Carbon Footprint 2020,1,M60,,,300,https://www.techpowerup.com/gpu-specs/tesla-m60.c2760,14400,1.2,0.2,,92.75
Imagenet,Image Classification,2016,Hydro,1,142.5,126.0825,local,USA,Oregon,Carbon Footprint 2020,8,Tesla M40,,,250,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,6912000,480,68.4,,
Imagenet,Image Classification,2018,Coal,0,401.06,286.1433333,cloud,USA,Google,eGRID,100,Tesla P100 PCIe 16 GB,,,250,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,6912000,480,192.5,,
Imagenet,Image Classification,2020,Gas,0,357.81,371.045,local,USA,Pennsylvania,Carbon Footprint,8,Titan XP GPUs,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,6912000,480,171.7,,
